Dokumentace,Popis,,Povinné,Body,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"cíl projektu, postup, popis funkčnosti, komentáře ve zdrojovém kódu",,X,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HTML 5,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Validita,Validní použití HTML5 doctype,,X,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cross-browser  kompatibilita,"Fungující v moderních prohlíčečích 
v posledních vývojových verzích 
(Chrome, Firefox, Edge, Opera)",,,2,jen html nebo celkove?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Semantické značky,"správné použití sémantických značek
(section, article, nav, aside, ...)",,X,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grafika - SVG / Canvas,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Média - Audio/Video,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Formulářové prvky,"Validace, typy, placeholder, autofocus",,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offline aplikace,"využití možnosti fungování stránky bez Internetového připojení
 (viz sekce Javascript)",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSS,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pokročilé selektory,použití pokročilých pseudotříd a kombinátorů,,X,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vendor prefixy,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSS3 transformace 2D/3D,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSS3 transitions/animations,,,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Media queries,stránky fungují i na mobilních zařízeních i jiných (tedy nerozpadají se),,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Javascript,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OOP přístup,"prototypová dědičnost, její využití, jmenné prostory",,X,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Použití JS frameworku či knihovny,"použití a pochopení frameworku či knihovny JAK, jQuery, ..",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Použití pokročilých JS API,"využití pokročilých API (File API, Geolocation, Drag & Drop, LocalStorage, Sockety, ...)",,X,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Funkční historie,posun tlačítky zpět/vpřed prohlížeče - pokud to vyplývá z funkcionatilty (History API),,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ovládání medií,"použití Média API (video, zvuk), přehrávání z JS",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offline aplikace,využití JS API pro zjišťování stavu,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JS práce se SVG,"události, tvorba, úpravy",,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ostatní,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Kompletnost řešení,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estetické zpracování,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Celkem,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
